job_title,employee_id,employee_name,first_day,last_day
Biologist,e48fd2c9-3abb-4592-a7d6-ccccf06e991e,Fiona Lane,2009-02-26 20:47:18Z,2005-10-13 20:01:22Z
Physician,625a607c-161c-400b-9d5d-9d223ea8b860,Joyce Gray,2014-10-13 17:52:19Z,2003-02-21 11:37:01Z
Auditor,ac7b9a9e-b4b3-492e-aa25-2c678022fefb,Peter Lynch,2004-02-25 05:14:06Z,2017-01-09 21:37:42Z
Treasurer,d6adabfb-7268-4e99-9e23-36830afe54be,Caleb Osmond,2005-03-22 10:14:05Z,2017-04-28 10:23:10Z
Health Educator,5c4efbde-db40-4509-83ce-61bae4ca672a,Russel Chapman,2002-12-25 21:10:44Z,2020-09-20 05:54:30Z
Call Center Representative,7ed7e5f0-7f9f-4d46-acd5-62457dcdf52b,Kendra Rust,2013-09-19 20:34:37Z,2017-10-19 13:46:52Z
Health Educator,46136685-5342-4711-ad8b-97cc1d60983c,Henry Button,2005-08-21 12:11:30Z,2010-12-05 06:22:45Z
Baker,da8158c4-3a4f-4440-85bc-4be2febd82e2,Chuck Lane,2015-10-09 20:43:21Z,2018-12-02 00:04:35Z
Doctor,ca2327b9-a05a-413e-a1a7-bcb468b906a3,Russel Cartwright,2018-05-24 17:20:11Z,2013-06-05 13:38:43Z
Webmaster,74b2f6ed-ded1-475a-a23c-214eb22e91a2,Aiden Poole,2000-05-21 09:00:07Z,2005-10-25 07:14:16Z
Assistant Buyer,2952134a-45c2-4a56-af00-cead84b9f0f2,Irene Wilkinson,2017-12-03 09:58:12Z,2007-02-10 11:19:02Z
Cash Manager,7704716b-ce6b-4bc4-9ade-84b2690e17dc,Owen Holmes,2020-01-10 04:08:13Z,2015-03-01 05:02:14Z
Cashier,15745237-bd95-458d-94a9-a14c0f806726,Denny Weasley,2000-03-22 21:19:00Z,2020-10-27 04:57:09Z
Ambulatory Nurse,32f04c9e-d019-4f3d-a46f-bebb8d648246,Florence Durrant,2012-02-16 10:23:21Z,2003-08-08 10:20:42Z
Associate Professor,ff2784d0-a0b4-42ec-b7c7-a53dd5528fb0,Ethan Steer,2004-02-26 00:33:41Z,2014-03-24 15:33:31Z
Webmaster,c082eeee-bb15-4ed6-9bbc-09dd9655050c,Elijah Martin,2003-05-04 07:03:53Z,2006-11-23 11:53:32Z
